Filename,Grammatical Error Percentage,Readability Score,Average Sentence Length,Repetitive Words Count,Repetitive Words List (limited),Repetitive Words List (full),AI Content Percentage,Generic Content Percentage
AIML - 81.pdf,63.77,46.27,19.526727509778357,1265,"working: 40, paper: 58, gpts: 20, early: 5, labor: 29, market: 10, impact: 26, potential: 46, large: 15, language: 33...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML - 81.pdf_repetitive_words_full_list.txt,2.26,0.19
AIML-1.pdf,26.26,46.37,14.819444444444445,300,"intelligence: 12, research: 4, number: 4, india: 4, securing: 8, data: 127, using: 9, artificial: 11, block: 12, chain: 9...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-1.pdf_repetitive_words_full_list.txt,35.81,0.27
AIML-10.pdf,9.08,47.89,15.383333333333333,199,"technology: 3, number: 2, research: 3, india: 2, detection: 6, covid-19: 34, pneumonia: 26, using: 8, chest: 7, x-ray: 11...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-10.pdf_repetitive_words_full_list.txt,2.97,0.27
AIML-11.pdf,97.33,47.08,11.507692307692308,709,"international: 15, computational: 7, intelligence: 2, research: 18, number: 6, india: 3, http: 3, review: 19, detection: 73, tracking: 165...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-11.pdf_repetitive_words_full_list.txt,35.64,0.55
AIML-12.pdf,94.84,56.35,15.43006384213581,1612,"survey: 24, deep: 79, learning-based: 3, object: 324, detection: 428, jiao: 9, ieee: 187, zhang: 47, fang: 3, senior: 3...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-12.pdf_repetitive_words_full_list.txt,1.55,0.1
AIML-13.pdf,10.47,42.92,18.625935162094763,670,"deep: 62, learning: 70, traditional: 44, computer: 21, vision: 34, niall: 2, mahony: 5, sean: 2, campbell: 2, lenka: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-13.pdf_repetitive_words_full_list.txt,2.54,0.31
AIML-14.pdf,93.47,55.03,17.21984838042729,1896,"this: 87, paper: 31, been: 39, accepted: 21, ieee: 62, transactions: 22, neural: 86, networks: 98, learning: 128, systems: 34...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-14.pdf_repetitive_words_full_list.txt,1.97,0.17
AIML-15.pdf,30.29,45.76,19.035714285714285,590,"2023: 2, discrete: 83, messages: 7, improve: 3, communication: 92, eﬃciency: 11, among: 10, isolated: 3, intelligent: 6, agents: 91...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-15.pdf_repetitive_words_full_list.txt,2.17,0.19
AIML-16.pdf,10.54,49.65,22.926315789473684,495,"association: 28, rule: 20, mining: 17, with: 25, earthquake: 17, data: 31, collected: 2, from: 21, türkiye: 14, region: 17...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-16.pdf_repetitive_words_full_list.txt,2.91,0.21
AIML-17.pdf,94.8,54.83,16.174220963172804,1583,"ieee: 37, transactions: 26, neural: 193, networks: 125, learning: 123, systems: 35, july: 22, 2019: 45, survey: 14, usages: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-17.pdf_repetitive_words_full_list.txt,1.79,0.16
AIML-18.pdf,54.41,48.3,15.651180502665651,1414,"recent: 16, trends: 3, deep: 70, learning: 136, based: 45, natural: 47, language: 100, processing: 46, school: 3, information: 58...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-18.pdf_repetitive_words_full_list.txt,1.81,0.16
AIML-19.pdf,14.28,48.81,18.047619047619047,560,"fairness-aware: 17, adversarial: 38, perturbation: 30, towards: 10, bias: 12, mitigation: 2, deployed: 44, deep: 14, models: 50, cyber: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-19.pdf_repetitive_words_full_list.txt,2.07,0.21
AIML-2.pdf,97.77,36.59,16.59512195121951,363,"journal: 5, intelligence: 4, research: 10, number: 2, india: 2, evaluation: 9, deep: 30, learning: 55, models: 43, fake: 64...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-2.pdf_repetitive_words_full_list.txt,3.0,0.4
AIML-20.pdf,91.92,47.99,15.785714285714286,709,"towards: 5, fairness: 15, visual: 10, recognition: 17, effective: 8, strategies: 4, bias: 72, mitigation: 18, wang: 5, olga: 4...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-20.pdf_repetitive_words_full_list.txt,2.39,0.2
AIML-21.pdf,61.41,45.66,19.363457760314343,831,"fairness: 115, extensible: 5, toolkit: 29, detecting: 4, understanding: 6, mitigating: 4, unwanted: 5, algorithmic: 6, bias: 90, natesan: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-21.pdf_repetitive_words_full_list.txt,2.32,0.25
AIML-22.pdf,78.83,53.31,14.041139240506329,377,"bias: 67, mitigation: 11, post-processing: 20, individual: 66, group: 41, fairness: 59, lohia: 3, ramamurthy: 4, saha: 3, varshney: 9...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-22.pdf_repetitive_words_full_list.txt,35.58,0.09
AIML-23.pdf,43.73,24.48,23.76086956521739,256,"mitigating: 11, ai/ml: 15, bias: 45, context: 16, establishing: 2, practices: 10, testing: 7, evaluation: 5, verification: 4, validation: 4...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-23.pdf_repetitive_words_full_list.txt,3.43,0.12
AIML-24.pdf,32.36,46.98,13.240384615384615,1510,"survey: 28, bias: 226, fairness: 181, machine: 88, learning: 118, ninareh: 6, mehrabi: 23, fred: 7, morstatter: 7, nripsuta: 3...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-24.pdf_repetitive_words_full_list.txt,35.4,0.19
AIML-25.pdf,21.68,35.37,13.913897280966767,712,"fairness: 181, bias: 179, artificial: 32, intelligence: 32, brief: 18, survey: 25, sources: 39, impacts: 31, mitigation: 43, strategies: 37...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-25.pdf_repetitive_words_full_list.txt,35.42,0.32
AIML-26.pdf,50.31,37.34,30.673417721518987,994,"nber: 13, working: 6, paper: 8, impact: 32, artificial: 29, intelligence: 35, innovation: 86, iain: 4, cockburn: 5, rebecca: 4...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-26.pdf_repetitive_words_full_list.txt,2.38,0.18
AIML-27.pdf,6.2,50.77,20.15234375,467,"research: 2, built: 2, upon: 6, techniques: 2, many: 10, different: 7, disciplines: 2, including: 4, logic: 47, theory: 13...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-27.pdf_repetitive_words_full_list.txt,2.6,0.1
AIML-28.pdf,25.89,47.59,16.752380952380953,574,"uncalibrated: 6, models: 17, improve: 6, human-ai: 23, collaboration: 2, kailas: 3, vodrahalli: 4, stanford: 3, university: 4, stanford.edu: 3...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-28.pdf_repetitive_words_full_list.txt,2.19,0.09
AIML-29.pdf,99.5,42.11,23.048780487804876,571,"2018: 25, ijrar: 16, december: 8, volume: 8, issue: 8, www.ijrar.org: 16, e-issn: 8, 2348-1269: 8, issn: 8, 2349-5138: 8...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-29.pdf_repetitive_words_full_list.txt,2.88,0.21
AIML-3.pdf,98.41,46.27,17.714285714285715,421,"international: 4, journal: 4, computational: 3, intelligence: 3, research: 4, volume: 3, number: 5, india: 6, language: 44, interpretation: 15...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-3.pdf_repetitive_words_full_list.txt,2.66,0.17
AIML-30.pdf,87.04,53.31,17.211640211640212,575,"proceedings: 20, 2008: 2, conference: 14, empirical: 8, methods: 13, natural: 7, language: 11, processing: 6, pages: 21, 2008.: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-30.pdf_repetitive_words_full_list.txt,2.39,0.15
AIML-31.pdf,37.43,46.98,15.219594594594595,897,"leveraging: 14, active: 68, learning: 99, conditional: 24, mutual: 22, information: 40, minimize: 14, data: 219, annotation: 40, human: 34...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-31.pdf_repetitive_words_full_list.txt,1.77,0.24
AIML-32.pdf,17.37,45.96,16.658823529411766,657,"active: 44, learning: 64, with: 36, classes: 4, queries: 6, microsoft: 2, mausam: 2, technology: 3, india: 2, weld: 7...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-32.pdf_repetitive_words_full_list.txt,2.52,0.24
AIML-33.pdf,87.57,54.02,18.850785340314136,501,"multi-label: 65, active: 75, learning: 72, text: 45, classiﬁcation: 60, high: 2, conﬁdence: 4, peking: 2, education: 5, china: 3...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-33.pdf_repetitive_words_full_list.txt,1.95,0.21
AIML-34.pdf,25.8,45.25,20.27304964539007,488,"active: 74, learning: 75, with: 21, multi-label: 75, classiﬁcation: 50, yuhong: 2, information: 10, university: 2, where: 9, each: 29...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-34.pdf_repetitive_words_full_list.txt,2.39,0.24
AIML-35.pdf,95.47,48.3,13.820135746606335,941,"comparing: 2, visual-interactive: 24, labeling: 162, with: 106, active: 32, learning: 68, experimental: 7, study: 27, j¨urgen: 2, bernard: 8...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-35.pdf_repetitive_words_full_list.txt,35.43,0.14
AIML-36.pdf,46.09,47.59,10.859164897381458,1090,"active: 192, learning: 306, literature: 19, survey: 7, burr: 3, settles: 26, computer: 10, sciences: 6, technical: 4, report: 8...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-36.pdf_repetitive_words_full_list.txt,35.28,0.26
AIML-37.pdf,71.93,52.29,18.396887159533073,433,"active: 24, learning: 43, audio: 16, annotation: 16, with: 45, large: 3, amount: 3, unlabeled: 16, data: 37, mendez: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-37.pdf_repetitive_words_full_list.txt,2.54,0.12
AIML-38.pdf,52.35,57.27,14.150341685649202,556,"reducing: 5, label: 5, effort: 7, self-supervised: 27, meets: 2, active: 73, learning: 126, javad: 3, zolfaghari: 3, joost: 6...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-38.pdf_repetitive_words_full_list.txt,35.76,0.21
AIML-39.pdf,8.98,43.63,11.018083182640146,914,"active: 123, learning: 180, approaches: 18, labeling: 49, text: 40, review: 11, assessment: 3, performance: 62, approaches⇤: 2, blake: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-39.pdf_repetitive_words_full_list.txt,35.45,0.39
AIML-4.pdf,97.77,38.01,17.62043795620438,257,"international: 5, computational: 2, research: 5, number: 6, india: 3, https: 2, learning: 33, based: 11, software: 69, defect: 33...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-4.pdf_repetitive_words_full_list.txt,2.99,0.35
AIML-40.pdf,8.75,46.67,17.951024042742652,1166,"reinforcement: 55, learning: 69, informed: 28, evolutionary: 70, search: 98, autonomous: 198, systems: 73, testing: 96, dmytro: 25, humeniuk: 25...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-40.pdf_repetitive_words_full_list.txt,1.64,0.12
AIML-41.pdf,26.97,46.78,13.19530284301607,859,"towards: 4, systematically: 3, engineering: 39, autonomous: 44, systems: 81, using: 10, reinforcement: 45, learning: 110, planning: 63, draft: 16...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-41.pdf_repetitive_words_full_list.txt,35.57,0.02
AIML-42.pdf,29.15,53.92,16.24342105263158,585,"curriculum: 43, offline: 94, reinforcement: 40, learning: 124, yuanying: 2, university: 2, beijing: 4, china: 5, chuheng: 3, microsoft: 3...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-42.pdf_repetitive_words_full_list.txt,2.11,0.1
AIML-43.pdf,30.66,39.43,12.142414860681114,356,"acta: 8, scientific: 9, computer: 10, sciences: 8, 2023: 10, advances: 14, reinforcement: 61, learning: 95, comprehensive: 16, review: 17...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-43.pdf_repetitive_words_full_list.txt,35.73,0.3
AIML-44.pdf,10.39,47.89,13.948453608247423,731,"explainable: 74, dead: 19, long: 19, live: 19, hypothesis-driven: 5, decision: 183, support: 77, preprint: 16, miller: 16, computing: 13...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-44.pdf_repetitive_words_full_list.txt,35.43,0.22
AIML-45.pdf,89.83,44.24,21.20715835140998,1583,"impact: 37, artificial: 28, intelligence: 30, future: 16, workforces: 4, european: 33, union: 9, united: 12, states: 18, economic: 38...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-45.pdf_repetitive_words_full_list.txt,2.31,0.25
AIML-46.pdf,96.49,34.46,18.41044776119403,251,"2023: 5, ijrti: 5, volume: 6, issue: 5, issn: 5, 2456-3315: 5, ijrti2304061: 5, international: 5, journal: 5, research: 7...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-46.pdf_repetitive_words_full_list.txt,2.97,0.39
AIML-47.pdf,91.32,45.66,9.063182527301093,859,"review: 11, machine: 23, learning: 53, applications: 5, cancer: 207, prognosis: 17, prediction: 70, kourou: 13, exarchos: 7, karamouzis: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-47.pdf_repetitive_words_full_list.txt,35.43,0.26
AIML-48.pdf,55.48,45.05,24.516393442622952,323,"ieee: 11, coins: 11, 2023: 9, contest: 5, sensor: 33, machine: 6, learning: 9, computing: 5, neuton.ai: 22, dubai: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-48.pdf_repetitive_words_full_list.txt,3.11,0.29
AIML-49.pdf,5.64,34.15,19.262734584450403,618,"risk: 16, governance: 11, control: 13, financial: 93, markets: 10, institutions: 17, volume: 9, issue: 10, 2023: 68, machine: 36...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-49.pdf_repetitive_words_full_list.txt,2.31,0.18
AIML-5.pdf,96.93,55.44,30.96268656716418,369,"computational: 3, technology: 2, number: 21, research: 4, india: 3, study: 8, speech: 41, quality: 32, improvement: 10, processed: 18...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-5.pdf_repetitive_words_full_list.txt,2.55,0.15
AIML-50.pdf,25.07,41.5,21.907120743034056,680,"progressing: 3, towards: 11, responsible: 21, teresa: 2, scantamburlo: 2, atia: 2, abstract: 2, ﬁeld: 12, artiﬁcial: 7, intelligence: 9...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-50.pdf_repetitive_words_full_list.txt,2.61,0.12
