Filename,Grammatical Error Percentage,Readability Score,Average Sentence Length,Repetitive Words Count,Repetitive Words List (limited),Repetitive Words List (full),AI Content Percentage,Generic Content Percentage
10 Things I Hate About You.pdf,87.95,86.91,9.107300342969133,1051,"things: 5, hate: 18, shrew: 3, william: 10, shakespeare: 9, padua: 6, high: 11, school: 29, welcome: 2, crowd: 12...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\10 Things I Hate About You.pdf_repetitive_words_full_list.txt,34.88,0.13
12 Angry Men.pdf,97.06,98.72,8.747939893359186,1017,"twelve: 39, angry: 78, ttaeloe: 2, notes: 5, characters: 2, extremely: 2, since: 5, felt: 4, wbat: 12, course: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\12 Angry Men.pdf_repetitive_words_full_list.txt,33.95,0.09
12 Monkeys.pdf,92.67,78.55,8.914838337182449,1950,"twelve: 22, monkeys: 33, original: 4, peoples: 2, film: 3, june: 3, fade: 3, terminal: 4, close: 32, face: 36...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\12 Monkeys.pdf_repetitive_words_full_list.txt,34.98,0.19
12 Years A Slave.pdf,95.82,86.5,9.728824076946944,1699,"best: 6, adapted: 2, screenplay: 4, john: 36, ridley: 2, rights: 4, reserved: 3, regency: 2, entertainment: 3, bass: 66...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\12 Years A Slave.pdf_repetitive_words_full_list.txt,34.82,0.15
40 Year Old Virgin.pdf,0,206.84,0,0,...,C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\40 Year Old Virgin.pdf_repetitive_words_full_list.txt,66.67,0
A Nightmare On Elm Street.pdf,95.5,85.89,9.176716626002092,1517,"nightmare: 31, street: 35, written: 3, montage: 2, music: 36, theme: 9, begins: 20, fade: 25, series: 2, shots: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\A Nightmare On Elm Street.pdf_repetitive_words_full_list.txt,34.89,0.11
A Quiet Place.pdf,37.87,87.72,7.617241379310345,661,"quiet: 7, place: 6, woods: 8, first: 11, hilltop: 5, corn: 29, golden: 3, morning: 14, structure: 2, distance: 4...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\A Quiet Place.pdf_repetitive_words_full_list.txt,35.34,0.05
A Scanner Darkly.pdf,96.26,87.52,8.196107784431138,1549,"scanner: 10, darkly: 4, first: 11, shot: 16, notebook: 20, page: 6, dappled: 8, sunlight: 9, someone: 8, entry: 7...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\A Scanner Darkly.pdf_repetitive_words_full_list.txt,34.84,0.13
A Serious Man.pdf,0,206.84,0,0,...,C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\A Serious Man.pdf_repetitive_words_full_list.txt,66.67,0
A Star Is Born.pdf,97.34,87.42,9.000367242012485,1135,"star: 5, born: 4, screenplay: 3, based: 2, frank: 6, story: 5, script: 3, property: 2, warner: 5, pictures: 3...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\A Star Is Born.pdf_repetitive_words_full_list.txt,34.51,0.13
A Topiary.pdf,88.28,85.69,10.258876811594202,2529,"note: 4, couple: 20, although: 2, scenes: 3, incredibly: 2, brief: 3, twice: 5, many: 21, average: 4, resulting: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\A Topiary.pdf_repetitive_words_full_list.txt,34.57,0.04
Adaptation.pdf,85.2,79.46,7.201642594165959,1505,"adaptation: 4, charlie: 17, kaufman: 578, donald: 203, book: 52, orchid: 67, thief: 11, susan: 24, orlean: 335, second: 4...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Adaptation.pdf_repetitive_words_full_list.txt,34.87,0.14
Alien Covenant.pdf,82.55,79.06,8.073534765198398,1493,"alien: 62, covenant: 65, green: 4, better: 14, hell: 15, serve: 5, lost: 9, space: 22, peaceful: 3, slow: 7...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Alien Covenant.pdf_repetitive_words_full_list.txt,35.1,0.15
Alien.pdf,0,206.84,0,0,...,C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Alien.pdf_repetitive_words_full_list.txt,66.67,0
Aliens.pdf,88.74,79.26,7.965205479452055,1982,"aliens: 151, script: 142, imsdb: 142, first: 13, fade: 3, space: 21, silent: 6, stars: 3, like: 115, love: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Aliens.pdf_repetitive_words_full_list.txt,35.15,0.09
All About Eve script.pdf,91.23,87.52,10.085345120707242,1400,"written: 8, fade: 6, dining: 7, hall: 11, sarah: 20, siddons: 20, society: 11, night: 97, large: 6, room: 64...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\All About Eve script.pdf_repetitive_words_full_list.txt,34.6,0.19
All About Eve.pdf,91.25,87.42,9.841968911917098,1402,"short: 5, story: 7, radio: 5, play: 66, shooting: 2, film: 3, fade: 6, dining: 7, hall: 11, sarah: 20...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\All About Eve.pdf_repetitive_words_full_list.txt,34.55,0.18
All The President_s Men.pdf,95.87,83.96,12.538421052631579,1249,"president: 21, based: 2, carl: 21, bernstein: 430, woodward: 520, version: 5, march: 2, start: 14, possible: 5, fade: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\All The President_s Men.pdf_repetitive_words_full_list.txt,34.7,0.23
All-the-presidents-men script.pdf,96.04,84.37,12.045231071779744,1249,"president: 21, based: 2, carl: 20, bernstein: 435, woodward: 523, version: 5, march: 2, start: 14, possible: 5, fade: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\All-the-presidents-men script.pdf_repetitive_words_full_list.txt,34.65,0.22
Almost Famous.pdf,92.27,87.92,7.79879679144385,1869,"almost: 13, famous: 13, written: 4, cameron: 2, crowe: 2, fade: 9, yellow: 4, legal: 2, young: 22, hand: 32...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Almost Famous.pdf_repetitive_words_full_list.txt,34.74,0.2
Amelie.pdf,98.0,86.1,11.664192949907235,1430,"scene: 130, voice: 69, third: 4, september: 3, twelve: 3, eight: 2, seconds: 7, small: 12, family: 4, miracles: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Amelie.pdf_repetitive_words_full_list.txt,34.91,0.13
American Beauty script.pdf,98.72,86.91,9.437558247903075,1093,"fitts: 40, house: 145, bedroom: 27, night: 28, video: 22, jane: 234, burnham: 86, lays: 6, wearing: 15, tank: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\American Beauty script.pdf_repetitive_words_full_list.txt,34.81,0.19
American Beauty.pdf,89.12,86.81,8.20738066586442,1123,"american: 8, beauty: 5, final: 2, fitts: 41, house: 145, ricky: 250, bedroom: 28, night: 30, video: 23, jane: 261...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\American Beauty.pdf_repetitive_words_full_list.txt,34.75,0.18
American Graffiti.pdf,94.18,87.42,8.715596330275229,1323,"willard: 2, radio: 49, dark: 17, screen: 8, amber: 2, light: 30, appears: 2, humming: 3, begins: 10, eerie: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\American Graffiti.pdf_repetitive_words_full_list.txt,34.65,0.11
American Psycho.pdf,86.33,78.45,12.086212914485166,2180,"american: 12, psycho: 2, book: 12, fade: 4, card: 7, things: 8, fell: 3, apart: 3, paid: 3, much: 14...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\American Psycho.pdf_repetitive_words_full_list.txt,34.99,0.1
Amour.pdf,82.88,88.02,7.9193181818181815,758,"scene: 67, apartment: 24, hallway: 43, window: 16, opening: 3, onto: 4, light: 10, well: 18, open: 20, door: 63...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Amour.pdf_repetitive_words_full_list.txt,34.72,0.23
Anchorman.pdf,94.93,87.52,8.25827559661278,1195,"action: 40, news: 163, burgundy: 86, open: 7, black: 4, screen: 7, flashing: 2, shows: 4, moving: 3, towards: 8...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Anchorman.pdf_repetitive_words_full_list.txt,34.86,0.18
Annie Hall script.pdf,97.63,87.01,9.23764064098193,1308,"annie: 639, hall: 34, woody: 2, allen: 2, marshall: 4, sound: 6, monologue: 3, begin: 3, fade: 3, white: 23...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Annie Hall script.pdf_repetitive_words_full_list.txt,34.58,0.17
